id,content,showNote
106,"Up your #ogimage game with Puppeteer, Satori, Cloudinary, and more - latest @SyntaxFM podcast has the details!",17
107,Take your #opengraph images to the next level! Learn techniques for dynamic OG image generation on the newest @SyntaxFM podcast.,17
108,"Get ready for the tastiest non-coding treats on @SyntaxFM! Tune in to hear @WesBos and @stolinski chat about concerts, home gyms, reality shows, and more.",18
109,Want to level up your at-home fitness routine? @WesBos shares how he built a custom home gym with equipment imported from China on the latest @SyntaxFM.,18
110,"Frustrated by declining Google search quality? @WesBos and @stolinski commiserate and discuss alternatives on today's wide-ranging @SyntaxFM.",18
111,.@stolinski tries his hand at learning continuous headspins...using ChatGPT suggestions for materials to build a special spinny helmet! Only on @SyntaxFM.,18
112,"What's better than outdoor movie nights? @stolinski talks setting up a projector and screen in his backyard on the newest anything-but-coding @SyntaxFM.",18
113,"Looking for a fun sci-fi kids book? @stolinski recommends The First Cat in Space Ate Pizza on today's non-coding catch up @SyntaxFM.",18
114,Need to revive an old appliance? @WesBos shares how he rewired and upgraded a vintage sewing machine motor on the latest @SyntaxFM.,18
115,Up to 70% faster React? @aidenbaibai explains how @million_js optimizes reconciliation to skip virtual DOM diffing.,19
116,"Curious how @million_js makes React faster? @aidenbaibai gives an overview of replacing React's rendering + reconciliation.",19
117,Text editors like Brackets and Atom chug on large files. @aidenbaibai explains how @code VS uses canvas for smooth scrolling.,19
118,.@aidenbaibai started coding in 5th grade and interned at @WyzeCam before finishing high school! Now working on @million_js.,19
119,Slow React reconciliation? @aidenbaibai shares real world examples like laggy Ticketmaster and advice for faster rendering.,19
120,.@aidenbaibai built his retro VCR site without ever using a VCR! Fun personal sites show your personality.,19
121,What to learn as a coding beginner? @aidenbaibai says just build what interests you. Language fundamentals matter but drive matters more.,19
122,"Want to learn #Rust but come from a #JavaScript background? We've got you covered in part 2 of our Rust for JS devs series!",20
123,"Diving into numeric types, strings, string slices, arrays, tuples, structs, and more in part 2 of our Rust for JS devs podcast series.",20
124,"If you're a JS dev looking to pick up #Rust, don't miss our latest episode covering Rust's type system and other fundamentals.",20
125,"We're back with part 2 of Rust for JS devs! Learn all about Rust's powerful type system, from integer types to string slices.",20
126,"Rust experts @scottandwes are at it again - this time breaking down Rust's types, structs, and other building blocks for JS devs.",20
127,"Want to understand string slices, integer types, structs, and more in #Rust? Check out the latest ep of our Rust for JS devs podcast!",20
128,Learn how to stream & pipe fetch responses for better performance! #javascript,21
129,Track download progress and cancel requests mid-flight with these fetch API tricks! #webdev,21
130,Handle errors and test JSON responses cleanly with these pro fetch tips and tricks! #javascript,21
131,Debug requests easier by copying as fetch in your devtools! #javascript,21
132,Level up your JavaScript skills with these 8 practical fetch API tricks covered on the @SyntaxFM podcast!,21
133,"Want to master the JavaScript fetch API? Don't miss these 8 pro tips and tricks!",21
134,"Take your fetch skills to the next level with streaming, progress tracking, error handling, and more handy tricks!",21
135,"Learn how to handle errors, track progress, test responses and more using the fetch API with these helpful tricks and tips!",21
136,Hear how @Descript built an AI-powered video editor using cutting edge web tech like Web Codecs and XState 🎥,22
137,".@Descript focuses on AI that enhances creators rather than replaces them - transcription, voice cloning, eye contact etc 💡",22
138,Get a deep dive on building complex UI like drag and drop trees 🌳 and dockable panels with Radix and XState from @Descript,22
139,Reliable end-to-end testing was key for @Descript - adopted @PlaywrightJS for its automatic waiting and detailed failure reports 🧪,22
140,"Learn how @Descript uses canvas, web streams, and cloud processing to build a fast video editor that works on any device 🖥️",22
141,IndexedDB usage can vary across browsers - Chrome allows much more than Firefox/Safari for features like offline video playback 📽️,22
142,"Learn about 6 freshly baked #JavaScript APIs like Promise resolvers, immutable arrays, observable events, and more! Some are shipping now, others proposed - get the scoop!",23
143,"Did you know #JavaScript may get array grouping, import assertions, Map.emplace() and more? We summarize 6 APIs ranging from shipping to proposed!",23
144,Observable events may revolutionize #JavaScript event handling like Promises did for async. Learn about this and 5 other fresh APIs!,23
145,Tired of modifying arrays and causing weird bugs? We cover new immutable array methods in JS to make your life easier!,23
146,Importing JSON in #JavaScript may get easier with import assertions! Learn about this and 5 other fresh APIs ranging from shipped to proposed!,23
147,Pattern matching and error handling may get way cooler in JS soon! We summarize 6 new APIs ranging from shipping now to just proposed ideas!,23
148,Learn all about JavaScript decorators with @ScottTolinski and @wesbos! #javascript,24
149,What are JS decorators? How do you use them? Find out on the latest @SyntaxFM episode!,24
150,"Get the scoop on decorators in JS - what they are, how to use them, and what's coming soon, with @SyntaxFM.",24
151,Want the inside track on JS decorators? @SyntaxFM has you covered in their latest ep. #javascript #webdev,24
152,Curious about JS decorators and how to use them? The latest @SyntaxFM ep has everything you need to know!,24
153,"Decorators are coming to JS! Learn how they work and how to use them now with @SyntaxFM's latest ep.",24
154,Hear @brandonbayer_ describe how @flightcontrolapp brings your own cloud to retain control and get great dev experience on AWS!,25
155,"@brandonbayer_ explains how Flight Control handles code building, Docker caching, preview envs & more for serverless AWS deploys",25
156,"Learn how Flight Control makes complex AWS infrastructure like load balancers, CDNs, Kubernetes easy to deploy from @brandonbayer_",25
157,.@brandonbayer_ talks using Temporal for workflow orchestration and how it simplifies complex async processes on AWS,25
158,Find out how Flight Control aims to be composable & pluggable for custom infrastructure while maintaining great dev experience,25
159,@brandonbayer_ discusses the history of Heroku buildpacks and how Nix Packs improves on them for optimizing Docker caching,25
160,Want to prevent back pain while programming all day? @ScottTolinksi shares his top posture tips and morning stretches on the latest @SyntaxFM!,26
161,Is TypeScript just fancy duct tape holding your projects together? The answer may surprise you! Tune in to the latest @SyntaxFM with @WesBos and @ScottTolinski,26
162,How can you limit cloud costs when hobby coding? @WesBos suggests sticking to regular servers over serverless on the new @SyntaxFM podcast episode.,26
163,"Tips for posture, morning stretches, the limits of TypeScript, and controlling cloud costs on the latest developer podcast from @WesBos and @ScottTolinski - tune into @SyntaxFM now!",26
164,.@ScottTolinski does NOT get the Sunday scaries or anxiety before going back to work. His routine may inspire you - listen to the latest @SyntaxFM!,26
165,Hear @WesBos and @ScottTolinski wax poetic about pillows and mattresses 😴 Posture pro-tips for programming on the newest @SyntaxFM podcast episode - tune in now!,26
166,"Ever wonder why Facebook's HTML is filled with random CSS classes and div soup? The latest Syntax podcast digs into why.",27
167,"Think Facebook's frontend code looks messy? @wesbos and @stolinski explain the method behind the madness on Syntax.",27
168,"Curious why Facebook's HTML is so messy? The new Syntax podcast reveals some fascinating reasons behind their chaotic code.",27
169,"Facebook's HTML is notoriously messy, but @wesbos and @stolinski share some insightful reasons for their approach on Syntax.",27
170,"If you've inspected Facebook's HTML and found it perplexing, this week's Syntax podcast offers clarity on their unconventional code.",27
171,"Coming up: @ryanflorence dives deep into @remix_run's architecture and how it uses standard web APIs #RemixJS",28
172,"Ever wonder how @remix_run's licensing model came about? The story behind @ryanflorence's framework's monetization journey",28
173,"Don't miss the details on @ryanflorence's broken bones 🩹 and how it impacted building @remix_run during COVID!",28
174,"@remix_run creator @ryanflorence shares the framework's origin story and how it pioneered serverless functions before @Vercel",28
175,"Just how popular was @reacttraining's React Router? The surprising insight that led @ryanflorence to create @remix_run",28
176,"@ryanflorence explains how @remix_run's unique form revalidation API came about and why it was missing from v1",28
177,Learn how to write #JavaScript that runs on ANY runtime with the new standard APIs! #NodeJS #Deno #Cloudflare,29
178,"Stop worrying and love the standardization! We look at the browser APIs now working across Node, Deno, Cloudflare and more.",29
179,Want your code to run anywhere? We cover the standard APIs to use instead of platform-specific ones. The future is HERE!,29
180,"Browser APIs meet serverless functions. Find out how Fetch, Streams, File and more now work on the edge! #Serverless",29
181,"Node, Deno, Cloudflare, Alibaba - too many choices! We look at how to write universal server-side JavaScript.",29
182,"If you write Node, this show will teach you the standard APIs to use for maximum portability across platforms.",29
183,"Heard of runtimes like Vercel, Netlify & Bun? Learn how to write JavaScript that runs EVERYWHERE with new standard APIs.",29
184,Learn the differences between #JavaScript and #Rust at a high level in this episode!,30
185,"Discover how cargo, documentation, error handling, and other concepts differ between JS and Rust.",30
186,"If you're a JS dev interested in Rust, this episode covers some key things you'll want to know coming from Node!",30
187,"How do imports, async/await, and other parts of #Rust compare to what you know from JS? Find out in this episode!",30
188,Want to get started with Rust but unsure how it maps to your JS skills? This episode has you covered!,30
189,"If #Rust looks intimidating but you know JS, this episode translates concepts between the two languages at a basic level.",30
190,"The early days of @nodemailer and how email evolved separately from HTTP APIs and the web, leading to complex protocols. Lots of history here!",31
191,Hear @andrisreinman explain why CSS support is limited in email clients and how systems like DMARC emerged over time.,31
192,Ever wonder why email is so hard? @andrisreinman takes us through the legacy protocols and constraints that make it tricky to work with.,31
193,@andrisreinman built @etherealemail to help test @nodemailer and avoid issues with real accounts. Now handles 100K+ fake emails daily!,31
194,Avoid landing in spam folders by using major email sending providers and leveraging their enterprise deliverability knowledge.,31
195,CRMs use @emailengine to sync user mailboxes via API. Cool use case for accessing accounts without managing servers.,31
196,"Want to learn all about polyfilling, transpiling & monkey patching? @wesbos & @stolinski break it down on the latest @SyntaxFM!",32
197,"Ever wonder what the difference is between a polyfill and a transpiler? We've got you covered on the newest @SyntaxFM episode!",32
198,"Curious how monkey patching works? We just dropped a full episode on @SyntaxFM explaining polyfilling, transpiling & patching step-by-step!",32
199,"If you build web apps, you need to know how to polyfill, transpile & patch code. Get the full scoop on @SyntaxFM's newest ep!",32
200,"Listen to @wesbos & @stolinski dispel all the confusion around JS polyfilling, transpiling & monkey patching on @SyntaxFM's latest!",32
201,"We just released a monster @SyntaxFM ep breaking down polyfilling, transpiling, patching & more. Don't miss it!",32
202,Learn how to delight users with validation toasts instead of confusing them! #JavaScript,33
203,"Ever get annoyed by bad UX from form validation? We'll teach you how to do it right! #webdev",33
204,"Frustrated by vague error messages? We'll show you how to provide specific and friendly validation feedback. #a11y",33
205,Having trouble getting your toast messages looking right? We break down toast message best practices so you can get it right! #CSS,33
206,"Tired of confusing form errors? We'll teach you how to pinpoint errors and guide the user. #UX #webdev",33
207,"Want users to love interacting with your site? Proper validation feedback is key! We'll show you how. #JavaScript #HTML",33
208,Learn how @Fastly ComputeEdge uses WebAssembly for high performance edge computing from @jaffathecake.,34
209,Want to know more about WebAssembly and WASI? @jaffathecake explains it all.,34
210,Need browser polyfills? Check out @polyfil_io which serves over 1 billion requests per day!,34
211,@jaffathecake discusses how WebAssembly provides security guarantees for untrusted code.,34
212,Find out how @Fastly initialized JS runtimes in a novel way for fast cold starts from @jaffathecake.,34
213,Edge functions are perfect for reducing latency with IoT. @jaffathecake explains.,34
214,New feedback segment where Wes and Scott clarify previous episodes and correct mistakes!,35
215,Scott has an absolutely wild story about getting terrorized on the road by a man in a monster truck!,35
216,The guys discuss options for modifying CSS variables from within React components.,35
217,What are the best JavaScript notebook options for quickly testing code and ideas?,35
218,How can you determine a fair price when a domain broker wants to buy your domain name?,35
219,Wes and Scott share tips for continuing to learn web development as a new parent without burning out.,35
220,Learn how to ask for dev help like a pro! @SyntaxFM shares their top tips for getting your questions answered by maintainers 💡,36
221,Stuck on a bug? @SyntaxFM has pro tips for crafting effective help requests so you can get unstuck faster! 🚀,36
222,"Getting dev help takes effort! @SyntaxFM breaks down how to write great issues, share code, and be respectful to get your questions answered 🔍",36
223,Frustrated by a library bug? @SyntaxFM gives actionable advice for getting maintainers to understand and help fix your issue! 🙌,36
224,"Respect devs' time and they'll respect yours! @SyntaxFM talks best practices for help requests like being responsive, searching existing issues, and more! 🤝",36
225,"Before you hit send on that angry 'fix this bug!' message, listen to @SyntaxFM's tips on asking for help nicely and effectively 💬",36
226,"Learn how @stevekrouse built @valdotown as a social platform for writing & running code snippets - perfect for demos, utilities, automations!",37
227,"""Val town is a social website to write and run code"" says @stevekrouse on what makes @valdotown unique for developers",37
228,Find out how @valdotown uses Deno and Render for running user code snippets - an interesting serverless approach!,37
229,"""Val is function that runs when hit"" - easily create & deploy serverless functions with @valdotown",37
230,"IoT and webhooks are common use cases for @valdotown's dead simple snippets",37
231,Great actionable advice from @stevekrouse on personalized approaches to learning coding based on individual goals,37
232,Try out @valdotown and join their Discord for a friendly community around running code snippets,37
233,"Scott and Wes quiz each other with AI-generated interview questions on JavaScript, CSS, Node.js and more!",38
234,"Hear Scott and Wes geek out over the history of Netflix, CSS, ES4 and more in this AI-powered interview quiz!",38
235,What was the primary motivation behind XHTML? Find out in this ep as Scott and Wes quiz each other on web dev history!,38
236,"What's the difference between a type guard and a type assertion in TypeScript? Scott and Wes break it down on the show!",38
237,"The ins and outs of JavaScript inheritance, closures, task execution order and more on this ep of Syntax!",38
238,"Http status codes, Node.js events, HTML5 video optimization and more technical topics covered in this AI interview game!",38
239,"Just discovered some crazy new #AI tools for developers - auto-document your code, generate dummy data, format commits & more! π€―π€",39
240,"Level up your #coding with these futuristic AI tools ππ€ Get AI-powered auto-complete, code optimization, test generation and way more! The future is here!",39
241,"Devs, drop what you're doing and go try these mind-blowing new #AI coding tools! π€―π€ Supercharge your workflow with auto-documentation, dummy data gen, commit formatting & more!",39
242,"Go download these AI coding tools RIGHT NOW! πββοΈπ ̈́ Get AI-powered code optimization, documentation, data formatting and more! The future of coding is here!",39
243,"Your mind will be blown when you try these AI coding assistants! π€―π€ It can auto-document, optimize, generate data & tests...the list goes on! The future is now!",39
244,"The robots are here to help us code! π€π» Try out these futuristic AI coding tools to auto-document, format, generate tests & data, optimize code and more! ",39
245,"Just dropped a new episode with @colbyfayock talking all about @Cloudinary's AI media capabilities and new framework SDKs!",40
246,"Want to easily transform images and videos with AI? Check out our pod with @colbyfayock covering @Cloudinary's latest offerings!",40
247,"If you build sites and apps, you NEED to listen to our ep with @colbyfayock. We cover all the goodness from @Cloudinary like AI filling, background removal, framework SDKs, and more!",40
248,"AI generated media is here! Learn how @Cloudinary is using it for image filling, background removal, video intros, and more from @colbyfayock on our pod",40
249,How do creators like @colbyfayock make YouTube vids and tutorials? Learn his full process and stack on the latest Syntax podcast!,40
250,Getting sleep with a newborn is no joke. @colbyfayock shares his parenting advice and tips on the latest Syntax pod!,40
251,"What's the one piece of advice @colbyfayock has for new developers? Keep building projects! More wisdom on our latest podcast",40
252,Want to build accessible components without compromising on customization? Check out headless UIs! ☝️,41
253,Tired of giant monolithic UI libraries? Try headless components for extensible functionality without the bloat! 💪,41
254,Struggling with accessibility in your custom components? Headless UIs have you covered! 🧑‍🦯,41
255,Customizable component functionality without the markup? Headless UIs are here for you! 🎁,41
256,Want full control of your component UI without sacrificing functionality? Look into headless components! 🔥,41
257,"Forget web components, headless UIs are the new hotness! 🥵",41
258,Running headless WordPress? We break down the pros and cons on the latest Syntax podcast episode! 🎧,41
259,Learn all about Lightning CSS and how it can supercharge your styles on the latest Syntax podcast!,42
260,Want faster CSS builds and sweet future syntax support? Check out Lightning CSS discussed on @SyntaxFM,42
261,"If you write CSS, you need Lightning CSS in your toolkit. Hear why on Syntax!",42
262,Next level CSS tooling has arrived with Lightning CSS. Listen to @SyntaxFM for the lowdown.,42
263,"Level up your CSS game with Lightning CSS! Speed, future syntax, and more covered on the Syntax podcast",42
264,Curious what all the Lightning CSS hype is about? Tune into the latest Syntax podcast to learn!,42
265,"Lightning CSS is lighting up the CSS scene. Learn how on @SyntaxFM's fresh episode all about this new tool.",42
266,Learn how @sentry processes 300k requests per second and coordinates distributed queues across mobile SDKs and backends from @mitsuhiko.,43
267,"Queues help distribute workload, implement backpressure, and smooth concurrency. Hear queue design principles for massive scale from @mitsuhiko.",43
268,@mitsuhiko explains how @sentry routes millions of events per day across Kafka and RabbitMQ queues by type like errors vs metrics.,43
269,Mobile SDKs are distributed queues outside your control says @mitsuhiko. @sentry once lied to SDKs about quota to clear queue backlogs!,43
270,Python leads in AI due to existing data science libs says @mitsuhiko. But Python packaging is fragmented without clear standards.,43
271,"@mitsuhiko shares his queue design learnings from massive scale at @sentry and views on Python, JS, Rust, and staying up to date.",43
272,"Ride hype cycles - master one thing until it's back in favor again says @mitsuhiko. Great learning advice on staying relevant from @sentry architect.",43
273,"Up early for the dentist? Us too! Listen along as we dig into ORMs like Prisma and Mongoose. What's your fave? #webdev #orm",44
274,"Heard of Drizzle but not sure what it's about? We break down the popular new ORM and how it handles PlanetScale. #javascript",44
275,"Ever wondered what the difference is between a schema and model? We clear it up along with migrations, middleware and more! #databases",44
276,Hate writing raw SQL but need a database? We explain how ORMs like Prisma provide nice abstractions. What ORM do you use? #programming,44
277,"On today's show: dentists, dad jokes, owls logos, racing pull requests, and of course... ORMs! What more could you want? #podcast #webdev",44
278,"BRB, researching Drizzle's inferencing capabilities 🧐 What ORM would you use for a new project these days? Let us know! #javascript",44
279,"Query builders, migrations, schemas, models... we break it all down when it comes to ORMs! What are your pain points working with data? #programming",44
280,Just heard Google Domains is closing down? We break down the top domain registrars to use instead in 2023!,45
281,Want phone support and fast chat? Check out @Hover! One of our top registrar picks.,45
282,Avoid the bait & switch! Some registrars lure you in with cheap first-year pricing only to crank it way up on renewals.,45
283,"Migrating domains is easy - don't wait for them to expire. Just unlock, get the transfer code, and move to your new registrar!",45
284,"Who has the best domain search tools? We're loving @IWantMyName for hunting down the perfect available domain names.",45
285,".dev domains are hot right now but not all registrars offer them yet. Cloudflare says they'll support them soon though!",45
286,"Do you really need the .com? With so many new TLDs now, you can find short, catchy domains for cheap on the newer domain extensions.",45
287,"Hear @DustinSchau from @Netlify discuss @gatsbyjs plans for performance, integration with CMS data sources, and thoughts on React server components.",46
288,"Dustin talks about using @GraphQL as a unified data layer, especially useful for large companies integrating multiple CMS data sources.",46
289,Dustin shares how low-code solutions are the future middle ground between pure dev and no-code for CMS editing and site building.,46
290,".@DustinSchau says React server components feel like a 'hard fork', upgrades are challenging. Will take time to see how it pans out.",46
291,Dustin is using Dracula Pro theme and Dank Mono font in VS Code. Hear his full editor and coding setup.,46
292,"Dustin's home theater setup runs on Ubuntu on an old Intel NUC. Hear his thoughts on stacks and tools for new and side projects.",46
293,Get the inside scoop on @js_nation and @renderatlanta from @wesbos and @stolinski!,47
294,"Having trouble with rate limited APIs? We've got pro tips for working within limits without compromising speed!",47
295,Technical difficulties got you down? Hear how @stolinski handled audio issues & more on the latest Syntax podcast episode.,47
296,"Want the play-by-play on @wesbos and @stolinski's recent conferences? Tune in to Syntax for all the details!",47
297,"APIs giving you limits? We're serving up strategies for efficient and effective use of rate limited endpoints on Syntax.",47
