id,show_number,title,description,provider
56,621,"Building the New Syntax Website Infrastructure with SvelteKit, Prisma, and AI Transcription","Scott and Wes discuss building the infrastructure and backend for the new Syntax.fm website. Topics include choosing SvelteKit, setting up GitHub OAuth, integrating PostCSS, and leveraging AI for automated podcast transcription.",anthropic
57,620,JavaScript goes portable with standalone executables,"Scott and Wes discuss JavaScript executables - standalone, portable executables containing your Node app, dependencies, and the runtime. They cover use cases, criticisms of large executable sizes, and potential ways to shrink executables.",anthropic
58,619,The Future of CSS,"Bramus Van Damme from the Chrome team discusses the latest in CSS including scroll-linked animations, scope styling, view transitions, nesting and more.",anthropic
59,618,SvelteKit x Astro × CSS Custom Props × React Native Deps,"In this episode, Wes and Scott answer listener questions on topics like using SvelteKit with Astro, what can be put in CSS custom properties, driving code quality on a team, and working with deprecated dependencies in React Native. They also share picks.",anthropic
60,617,Why is node_modules So Big?,Discussion on why Node.js node_modules folders get so large and what actually takes up most of the space inside them.,anthropic
61,616,"What's New in CSS","Adam Argyle discusses all the latest updates in CSS including new units, gradients, animations, custom properties, and more.",anthropic
62,615,The Ultimate Hosting Providers Smack Down,"Compares popular hosting providers like Vercel, DigitalOcean, and AWS services. Looks at features, pricing models, and opinions.",anthropic
63,614,WTF are Signals and Why is Everyone So Hot on Them All of a Sudden?,"Discussion on what signals are, why frameworks are adopting them, and whether you need to use them in your apps.",anthropic
64,613,Simplify Streaming - Mux and Video Infrastructure,"Dylan Javeri from Mux discusses their developer platform for powering professional video on the web. Topics include video players, streaming, codecs, analytics, AI, web components, and the future of video.",anthropic
65,612,"UI Elements - The Good, Bad, and Future","Wes and Scott discuss browser native UI elements, issues with their lack of flexibility, and research into better customizable options via the Open UI community group.",anthropic
66,611,Bluesky and the AT Protocol - The Future of Twitter?,"Scott and Wes discuss the new Blue Sky social network and AT protocol, comparing it to Twitter, Mastodon and other decentralized social networks.",anthropic
67,610,Reinventing the Terminal with Warp Creator Zach Lloyd,"Scott and Wes interview Zach Lloyd, creator of the Warp terminal app, about building Warp in Rust, efforts to reinvent the terminal UX, integrating AI assistants, and his background working on Google Docs.",anthropic
68,609,"Building the Syntax Swag Giveaway Site - Productivity, Performance, and Fun","Scott and Wes discuss building the Syntax merch giveaway site using SvelteKit, Prisma, and PlanetScale, handling heavy traffic, security considerations, and why it was an enjoyable developer experience.",anthropic
69,608,RPC Explained for JS Devs,"Wes and Scott explain RPC and discuss its growing popularity due to server-side React, key concepts, use cases, standards, comparisons to REST, and considerations.",anthropic
70,607,Navigating Website Privacy Policies and Terms for Your Online Business,"A discussion with lawyers about the details of privacy policies, terms of service, GDPR compliance, cookie consent, and more for websites and online businesses.",anthropic
71,606,"Scott's Exciting New Audio Gear",Scott talks about his new Neumann MT48 audio interface and how it will improve his podcast audio setup.,anthropic
72,605,Level Up Your Style with Practical CSS Color Functions,"This episode covers practical uses of new CSS color functions like relative color, color contrast, and color mixing. Wes and Scott are excited about the possibilities enabled by modifying colors dynamically in CSS.",anthropic
73,604,Nicholas Zakas on the Past and Future of ESLint,"Nicholas Zakas discusses creating ESLint 10 years ago, how it works, improving the config system, and why communication skills matter more as you become a senior engineer.",anthropic
74,603,Has CSS killed Sass yet?,"Wes and Scott discuss whether vanilla CSS has all the features of Sass these days, going through variables, nesting, colors, looping, mixins, imports, math functions, custom functions, and BEM syntax.",anthropic
75,602,"All About Modals: Popups, Dialogs, Escape Handling, and More","Discussion on terminology, HTML elements, and implementation details around modal popups, dialogs, and popovers.",anthropic
76,601,Unifying React Native and Web with Tomagui,"Discussion of Tomagui - a tool that unifies React Native and web development with consistent styling. Covers React Native styling, optimizations, animations, layout, and more.",anthropic
77,600,"Syntax is Joining Sentry! More Video, Authenticity, and Big Plans","Scott and Wes announce that Syntax is joining Sentry. They discuss the partnership, how it started, and what it means for the future of the podcast.",anthropic
78,599,Demystifying the Magic Behind Logging In With GitHub,"This episode explains OAuth, the standard for logging in via services like GitHub and accessing user data. OAuth uses various tokens like client ID, client secret, authorization code, access token, and refresh token.",anthropic
79,598,Inside Modern WordPress Development in 2023,"A deep dive into modern WordPress development covering block editors, headless CMS, developer workflows, editing experience and more.",anthropic
80,597,"Stump'd By ChatGPT: Can AI Ask Better Dev Interview Questions Than Humans?","Scott and Wes play a gameshow where ChatGPT asks them web development interview questions of increasing difficulty and obscurity on topics like JavaScript, CSS, GraphQL, TypeScript, Svelte, and Deno.",anthropic
81,596,Import Maps Explained - The New JavaScript Alias Standard,Explains the new import maps standard for aliasing files and paths in JavaScript projects. Covers how to use them and browser support.,anthropic
82,595,Everything you wanted to know about web components,"Discussion with Justin Fagnani of Google about web components, how they work, the intent behind their creation, and how libraries like Lit integrate with them.",anthropic
83,594,"Freelancing, Testing, Frameworks, Functions, Learning, and CSS Grid","In this potluck episode, Scott and Wes answer developer questions about freelancing tips, testing animations, choosing frameworks, writing small functions, learning strategies, and using CSS grid.",anthropic
84,592,Designing Humanistic AI Tools and Interfaces with Travis Neilson,"Travis Nielsen joins to discuss his perspective on AI tools as a designer and creator, including the importance of treating AI tools like collaborators, keeping the human element in interfaces, articulating ideas effectively, and customizing models to your needs and priorities.",anthropic
85,591,"Career changes, coding quickly, web design, and SPAs","In this potluck episode, Scott and Wes discuss topics like switching careers, writing code quickly, learning web development with limited time, improving web design skills, and whether you really need to use a single page application.",anthropic
86,590,Tunnel Your Localhost Over HTTPS for Fun and Profit,Discussion on using HTTPS and tunneling services like Cloudflare Tunnel and ngrok to securely expose a local dev server and allow outside traffic for testing.,anthropic
87,589,"Hosting Next.js Anywhere with Serverless - AWS, Vercel, Cloudflare","Wes Bos and Scott Tolinski talk with Dax Raad about modern hosting platforms and serverless technology, including using Next.js with Vercel vs self-hosting on AWS, Cloudflare's edge platform, and optimizing costs with thoughtful architecture.",anthropic
88,588,New Syntax Website Brainstorm! IRL!,"In this fun IRL episode, Wes and Scott brainstorm creative ideas for improving the Syntax podcast website, including search, transcripts, video components, surfacing old content, and more.",anthropic
89,587,All About Web Streams,"Wes and Scott discuss web streams, how they work, and examples of using them for performance and working with large data.",anthropic
90,586,Around the World Coding - Digital Nomad Shares Tips,"Scott and Wes interview Eric Sartorius, a developer and digital nomad who has traveled the world while working full time as a freelancer and mentor.",anthropic
91,585,What Makes a Website Slow? Tips for Debugging Performance,Discussion on identifying performance issues that cause websites to be slow and potential solutions.,anthropic
92,584,Node in Browser is a Game Changer for Learning and Sharing Code,"Discussion on running Node.js in the browser via web containers and Nodebox, enabling server-side code in the browser for demos, tutorials and interactivity.",anthropic
93,583,Visually Build UIs with Any Framework using Builder.io,"Steve Sewell discusses Builder.io, a visual programming tool that allows composing UIs from React components via a drag and drop interface",anthropic
94,582,AI Encoders and Image Generators: How Will They Change Development?,"Scott and Wes discuss AI encoders like ChatGPT and image generators like Midjourney, including capabilities, limitations, implications, and how it will impact developers.",anthropic
95,581,The Battle Against Sloppy Code,"Discussion on establishing codebase rules and conventions to enforce clean code vs sloppy code through formatting, linting, naming conventions, documentation, and automation.",anthropic
96,580,Fred Schott reviews Astro 2.0 - Web framework for content sites with HTML-first islands,"Fred Schott discusses Astro 2.0, a framework for content-focused sites that defaults to HTML with interactive JS islands. Covers use cases, routing, markdown support, edge runtimes and top-level data fetching.",anthropic
97,579,Revolutionizing terminals with Warp on Mac,"In this episode of Syntax, Scott and Wes provide an overview of the new Warp terminal for Mac, discussing its features, benefits over traditional terminals, and technology behind it.",anthropic
98,578,The Treasure Trail of Logging,Wes and Scott discuss the value of comprehensive logging in web development and some best practices.,anthropic
99,577,Inside Solid JS and the future of front-end frameworks,"Ryan Carniato discusses the history and concepts behind SolidJS. Covers reactivity, signals, differences from React, web components support, and introducing Solid Start.",anthropic
100,593,JavaScript and the OpenAI API,"Scott and Wes discuss how to work with the OpenAI API and ChatGPT in JavaScript. They go over the different APIs available, pricing, token limits, prompt tuning, and share tips for saving money.",anthropic
101,576,"Listener Q&A on Smart Homes, Web Dev, and More","In this potluck episode, Scott and Wes answer submitted listener questions on topics like setting up a smart home, using web components, JavaScript mixins, and more.",anthropic
102,575,Save us from config file hell!,"Wes and Scott discuss config files in web development projects - how they are necessary but can clutter your codebase. They talk through different formats like JSON, JavaScript and YAML, tools to hide/organize them, and ideas for standardization.",anthropic
103,574,Resumable UIs for Free with Qwik framework,"Discussion with Mishko Hevery, creator of Angular, about his new framework Qwik and its resumability feature for improved performance without extra effort from developers.",anthropic
104,573,From Wiring to Typing - Converting JS to TS,"Scott and Wes discuss their experiences installing smart switches and converting their JavaScript code bases to TypeScript. They talk through the wiring challenges, refactoring benefits, and how TypeScript helps catch bugs.",anthropic
105,572,Polish and Perf: Making Your Site Speedy and Shiny Post-Launch,"Wes and Scott discuss strategies for improving performance and polish after launching a web app, from auditing network requests to optimizing images, caching, removing unnecessary code, and iteratively enhancing the user experience.",anthropic
106,571,Making Rust approachable for new developers,"This episode covers the history of Rust, how it aims to be more approachable for new developers, the steep learning curve, good introductory projects like command line utilities and games, performance and efficiency benefits, terminology like crates and cargo, and running Rust via WebAssembly.",anthropic
107,570,Migrating to ECMAScript Modules in Node.js,"Discussion on moving from CommonJS modules to ECMAScript modules in Node.js - the benefits, challenges and steps for transitioning a project.",anthropic
108,569,"Scott and Wes’ CSS Wishlist - Mixins, Grid Rows, Color Functions, and More!","In this episode Scott and Wes discuss their wishlist for future CSS features including mixins, grid row selection, range selectors, first/last selectors, fit-text, overflow control, color functions, lighten/darken colors, resize handles on divs, and overflow styles.",anthropic
109,568,"Developer from Canada discusses Buffalo's secret Canadian side",Wes Bos and Scott Tolinski interview web developer Caleb Porzio about growing up in Canada near Buffalo and the cultural similarities between the two.,anthropic
110,567,Hot Takes on the Spicy State of JS 2022 Survey,"Wes and Scott discuss the results of the State of JS 2022 survey, analyzing trends in frameworks, libraries, developer demographics, salaries, and more.",anthropic
111,566,Container queries land in browsers - explained with examples!,"Wes and Scott provide an intro to container queries, explaining the syntax, use cases, and browser support. They share examples for styling based on parent width and height, replacing JS with CSS, and dynamically sizing fonts and elements.",anthropic
112,565,Deep Dive into Sanity CMS with the Syntax Podcast,"Scott and Wes from Syntax podcast chat with Simons and Espin from Sanity about the Sanity content platform, Grok query language, and the new Sanity Studio 3 release.",anthropic
113,564,"Knee injuries, recession woes, and the future of JS modules","Wes and Scott answer listener questions about HTML tags, recession impacts, budgeting, expensive cars, and the state of JS modules.",anthropic
114,563,Buy It or Build It? Service Decisions,Discussion on evaluating whether to buy or build services for your application.,anthropic
115,562,From literature to founding engineer at sustainable building startup,"Katherine Mello discusses her journey from French literature major to founding engineer at sustainable building startup Tangible, touching on coding bootcamps, data visualization, and working at WeWork during its dramatic fall.",anthropic
116,561,"New Tools and Skills: Wes and Scott's 2023 Resolution Repertoire ","Wes and Scott discuss their goals for 2023 including code goals like using new technologies, improving courses, fitness goals like losing weight and doing more cardio, and podcast goals like conducting better interviews.",anthropic
117,560,Freeze Your Types and Satisfy Your Cravings with TypeScript,"Scott and Wes discuss new TypeScript techniques like 'as const' to create frozen read-only types from data and 'satisfies' to allow better inference for unknown metadata objects.",anthropic
118,559,Sarah Drasner on Writing Engineering Management for the Rest of Us,"Sarah Drasner discusses writing her new book Engineering Management for the Rest of Us. She covers her transition from engineer to management at companies like Google, key responsibilities as a manager, writing and publishing the book, and staying motivated by helping others learn.",anthropic
119,558,"2023 Web Development Trend Predictions - Server Side Rendering, Browser APIs, Frameworks, Rust, and More","In this episode, Wes and Scott make predictions for trends and changes in web development during 2023.",anthropic
120,557,Narrow Those Types Down in TypeScript,"Discussion on TypeScript fundamentals like type narrowing, guards and predicates which narrow types from general to specific.",anthropic
121,556,The Polypane Browser - A Supercharged Dev Tool for Faster Accessible Development,"Kilian Valkhof discusses Polypane, the developer tool browser he created to speed up development and make accessibility testing easy. He covers Polypane's multi-pane view, custom dev tools focused on the multi-pane experience, extensive accessibility testing features, and more.",anthropic
122,555,2022 Web Dev Predictions - Right or Wrong?,"Wes Bos and Scott Tolinski review their 2022 web development predictions from last year's episode to see what they got right and wrong.",anthropic
123,554,Desktop Apps in JS with Electron and Tori,Scott and Wes discuss building desktop applications using JavaScript and frameworks like Electron and Tori.,anthropic
124,553,From Aerospace Machinist to Two Full-Time Remote Web Dev Jobs,"Kenneth Lyerly shares his journey switching careers into web development, leading teams in ecommerce and marketing, and now working two full-time remote jobs.",anthropic
125,676,"Coding in the Cloud with Google's Project IDX","David East discusses Google's new online IDE Project IDX, which allows coding directly in the browser with AI assistance. He talks about the motivation, benefits, and technology behind IDX.",anthropic
126,552,Potluck Podcast Episode on Web Dev Tips and Tricks,"Potluck Q&A show covering website improvements, managing notifications, JavaScript testing, routers, freelancing tips, smart home automation and more.",anthropic
127,551,Serverless showdown: Database options for your next JAMstack project,"Discussion on using databases with serverless architectures and the unique challenges around connection pooling, edge locations, and scaling.",anthropic
128,550,Generating Videos with Code using Remotion and React,"Johnny Burger explains how he created Remotion, a tool for programmatically generating videos with React and common web technologies. He talks about the motivation, technical implementation, and use cases.",anthropic
129,549,Navigating the JavaScript Web Almanac,"Scott and Wes discuss the JavaScript chapter of the Web Almanac, covering topics like framework usage, script loading, and JS payloads. Wes also shares about recovering from a nasty flu.",anthropic
130,548,Web Rendering Methods Explained,"Scott and Wes discuss different rendering methods for web applications based on the State of JS survey results. They provide overviews and examples of SPA, MPA, SSG, SSR, partial and progressive hydration, island architecture, progressive enhancement, ISG, streaming SSR, resumability, and edge rendering.",anthropic
131,547,"The secret tools powering Disney's massive content workflow","Vu Le shares insights into building internal CMS and tools at Disney to manage massive amounts of content and enable complex workflows for Disney Plus, ABC News, National Geographic and more.",anthropic
132,546,Code Styles: Readable Rules or Petty Preferences?,"Scott and Wes discuss their code style preferences, focusing on readability over being fancy. They also chat about prepping for a site launch.",anthropic
133,545,GitHub unveils exciting new AI-powered developer tools,"Scott and Wes discuss GitHub's latest announcements and upcoming products revealed on the GitHub Next website, including GitHub Copilot integrations, voice coding, collaborative workflows, and more.",anthropic
134,544,Inside Bun: A Faster JavaScript Runtime Alternative to Node,"Jared Sumner discusses creating the Bun JavaScript runtime, focusing on performance, integrating tools, and potential use cases compared to Node and in embedded systems.",anthropic
135,543,Navigating the Twittersphere and Understanding Real-Time Data,"Wes and Scott answer listener questions about using Twitter, the difference between CRUD operations and real-time protocols like WebSockets, and share updates on projects they are working on.",anthropic
136,542,Serverless Limitations - What to watch out for,Wes and Scott discuss limitations of serverless functions and how to work around them.,anthropic
137,541,Scott and Wes talk about anything but coding on the Syntax Supper Club,"Scott and Wes have a casual conversation touching on various topics like reality TV shows, holidays, home renovation shows and more.",anthropic
138,540,Mastering the Art of Responsive Web Design,"Discussion on different techniques for making websites responsive across devices like mobile, tablets, and desktop screens.",anthropic
139,539,React Use hook - Game Changer or Footgun City?,"Scott and Wes discuss the new React Use hook proposal for handling promises and asynchronous data fetching in React components. They cover the basics, comparisons to React Query, concerns around complexity and fragmentation in React.",anthropic
140,538,Ryan Dahl on Why He Still Believes in JavaScript and How He Built Deno,"Ryan Dahl discusses the origins and goals of Deno, his new JavaScript/TypeScript runtime, and why he believes JavaScript will remain the language of the web.",anthropic
141,537,CSS Trends Almanac 2022 Wrap-Up,"Scott and Wes continue their analysis of CSS usage trends from the HTTP archive almanac, discussing topics like box model, columns, animations, blend modes, and responsive design.",anthropic
142,536,Hot tips for spicy short-form dev content,"Wes and Scott discuss creating short-form video content for platforms like TikTok, Instagram Reels, and YouTube Shorts. They cover repurposing existing content, making custom videos, platform algorithms, tips for capturing viewers' attention quickly, challenges of showing code, and using text-based editing tools.",anthropic
143,535,"Crashing layouts, turbocharged bundling, and a live audience: A jam-packed web dev podcast","Wes and Scott discuss site bugs, Vercel announcements like TurboPack, the post-Webpack era, and take audience questions in a live stream podcast.",anthropic
144,534,Syntax Podcast Potluck × Meeting IRL × SSG vs SSR × Domain Privacy,The Syntax podcast hosted by Scott Talinski and Wes Boss covers tasty web development topics.,anthropic
145,533,Zod Schema Validation and Type Generation,"Discussion of Zod, a TypeScript-first schema validation and inference library. Covers features like type inference, runtime validation, integration, and comparisons to alternatives.",anthropic
146,532,ADHD and Coding Careers: Managing Symptoms and Staying Productive,"Dr. Courtney Talinski discusses ADHD, including common symptoms and strategies for managing it as an adult, especially in tech careers.",anthropic
147,531,"Web dev horror stories - placeholders gone wrong, accidental deletions, and more","Discussion of spooky web development stories involving accidents, bugs, and things gone wrong submitted by listeners.",anthropic
148,530,"Buzzwords DEMYSTIFIED - Schema, Promises, Async/Await, DOM, Methods vs Functions, Props, Stateless Requests","Scott and Wes explain web development buzzwords and concepts like schema, promises, async/await, DOM, methods vs functions, props, and stateless HTTP requests.",anthropic
149,529,GraphQL for Data Aggregation at Sky,Philippe Ferreira from Sky discusses how they use GraphQL as an aggregation layer across their streaming platform and apps.,anthropic
150,528,"Web dev nightmares -  accidentally losing orders, crashing apps, and costing companies millions!","Scott and Wes share cringey, scary stories submitted by developers about mistakes they've made in production that caused big problems.",anthropic
151,527,Hydration Hurts! Meet Quick - The No-Hydration Framework,"This episode discusses Quick, a new web development framework created by the inventor of Angular that eliminates hydration by serializing state to HTML. It also covers topics like JSX, SSR, edge functions, and more.",anthropic
152,526,tRPC - TypeScript Remote Procedure Calls,"Alex Johansen discusses tRPC, an alternative to REST and GraphQL for calling functions between client and server using TypeScript for type safety.",anthropic
153,525,Web Stats Show Surprisingly High Mobile Usage,"Scott and Wes discuss mobile vs desktop usage based on stats from the Web Almanac report, cleaning tips, sponsors, and more.",anthropic
