id,name,name_slug,twitter,github,url,of
3bfcb059-2cb9-40a2-a77a-a89971d8948b,Jason Bahl,jason-bahl,jasonbahl,jasonbahl,https://www.wpgraphql.com,
419d9a6a-234a-4b01-945e-ebd4a19a1124,David K Piano,david-k-piano,davidkpiano,davidkpiano,,
445b630c-be84-4644-8a7c-d0aa476db4d8,Victor Savkin,victor-savkin,victorsavkin,vsavkin,https://nx.app/company,
44a43cbb-c371-4078-bd23-0bab3c620252,Josh Comeau,josh-comeau,joshwcomeau,joshwcomeau,https://www.joyofreact.com/,
4533bbe8-ae0a-4257-995c-9ad14f43ccc5,The Primeagan,the-primeagan,ThePrimeagen,ThePrimeagen,,
45786191-aeb9-4893-9686-d62ce35a147c,Eric Sartorius,eric-sartorius,EricSSartorius,ericssartorius,https://www.purefunc.io/,
48be657c-9db4-4208-afe3-8d18387f8343,Nikolas Burk,nikolas-burk,nikolasburk,nikolasburk,,
48beb7d1-5408-4d62-8cc1-99c357670a42,Andrey Mishchenko,andrey-mishchenko,,,,
49203747-a989-42a6-80f8-d9f010cbbbd1,Espen Hovlandsdal,espen-hovlandsdal,rexxars,rexxars,https://espen.codes/,
4ea1905b-b1e6-492a-9b71-3a19d9db9472,Travis Neilson,travis-neilson,travisneilson,travisneilson,http://travisneilson.com/,Google
51bc398d-093f-4989-9f79-ecf6e4444fe4,Ryan Dahl,ryan-dahl,,ry,https://tinyclouds.org/,
5c1b28d2-40a4-4a26-ba91-e721420a2140,Stuart Bloxham,stuart-bloxham,,sbloxy123,https://www.stuartbloxham.tech/,
6022b551-db63-46d3-bef2-8b259d6c143f,Nicholas Zakas,nicholas-zakas,slicknet,nzakas,https://humanwhocodes.com/blog/,
613fc4c4-bebf-4295-9f7f-3ea4b24ff4f9,Darcy Clarke,darcy-clarke,darcy,darcyclarke,https://www.darcyclarke.me,
636ec37b-1389-4870-8747-e03a5be01b7f,Donata Skillrud,donata-skillrud,DonataSkillrud,,https://termageddon.com/,
663038fa-4ce4-49a4-9dec-9366c7d24777,Jonny Burger,jonny-burger,JNYBGR,JonnyBurger,https://www.jonny.io,
68918036-daec-413e-8111-1580ab99e5f1,David Cramer,david-cramer,zeeg,dcramer,https://cra.mr/,Sentry
68dc2089-38c4-430f-ae53-cea2fdc5ab36,Simen Svale Skogsrud,simen-svale-skogsrud,svale,simen,https://sanity.io,
6a17ec3b-1570-42e4-8ecd-fe3a00fd1b35,Pokey Rule,pokey-rule,PokeyRule,pokey,,
6a182a69-4623-42f7-afc9-d2f8e958ba87,Adam Gargoyle,adam-gargoyle,argyleink,argyleink,https://nerdy.dev,
6b6958a3-c137-4018-9763-748928cef6e3,Sarah Drasner,sarah-drasner,sarah_edo,sdras,https://sarahdrasnerdesign.com,
6fd870b1-a174-4d59-9c82-c5f99aa3b2bf,Adam Cowley,adam-cowley,adamcowley,adam-cowley,https://adamcowley.co.uk/,
71f15836-4f2e-496a-b37a-aaa1bb074007,Heather Payne,heather-payne,heatherpayne,heatherpayne,https://bento.me/heatherpayne,Juno College / Hacker You
71f74245-7d69-483a-b838-0619ea9cbecd,Brad Frost,brad-frost,brad_frost,bradfrost,https://bradfrost.com/,Big Medium
73c15d42-e19f-4064-99c3-9726a906e9fb,Chis Coyier,chis-coyier,chriscoyier,chriscoyier,https://chriscoyier.net/,
73e558d6-0980-4879-9463-7d4270682635,Steve Krouse,steve-krouse,stevekrouse,stevekrouse,https://stevekrouse.com/,
76b31178-64fb-4580-bcd0-4a29d14aa200,Pauline Narvas,pauline-narvas,paulienuh,pawlean,https://www.paulinenarvas.com,Gitpod
775d9f6c-4667-4580-94ff-1e6b1e224be0,Tom Preston-Werner,tom-preston-werner,mojombo,mojombo,https://tom.preston-werner.com/,
7968c23b-b917-4fd1-afd0-0a9d6e6e4ead,Shawn Wang,shawn-wang,swyx,sw-yx,https://www.swyx.io/,
79d92bbd-e53d-4b83-87f3-d5106105a390,Miško Hevery,misko-hevery,mhevery,mhevery,http://misko.hevery.com/,
7aba04f1-36c2-4f03-989a-646e0334e898,Rich Harris,rich-harris,rich_harris,Rich-Harris,https://svelte.dev,
811ef008-261a-4998-8155-e94b71545504,Ian Ramzy,ian-ramzy,,ianramzy,https://ianramzy.com,
8739900b-9fe3-405a-8e67-1999e996f642,Jared Sumner,jared-sumner,jarredsumner,Jarred-Sumner,https://bun.sh,
8a99f927-3ee6-495b-aa32-0214520460ad,Jake Champion,jake-champion,jakedchampion,JakeChampion,https://jakechampion.name/,
8b54e975-a2e9-483f-af27-3e39e0eccf7c,Dr. Courtney Tolinski,dr-courtney-tolinski,DrTolinski,,,
8dcd396d-652b-4edd-956d-d723174ec4cd,Tim Leland,tim-leland,TimLeland,,https://timleland.com,
8e119f0b-509f-476d-a345-88efb7c7cb4e,Mark Erikson,mark-erikson,acemarke,markerikson,https://blog.isquaredsoftware.com/,
90b70626-9cad-447c-a00f-36e3df4f59fe,Brandon Bayer,brandon-bayer,flybayer,flybayer,https://www.flightcontrol.dev/,
9203b224-45a5-4450-ae4b-cfba7fc7877e,Nick Hehr,nick-hehr,hipsterbrown,HipsterBrown,https://www.hipsterbrown.com/,
94981948-8a1b-4e2b-9228-b1fc4f02e451,Chris Lattner,chris-lattner,clattner_llvm,lattner,https://www.nondot.org/sabre/,Modular AI
995f373e-b121-4a35-b979-456b7dcd3d02,Tim McNamara,tim-mcnamara,timClicks,timClicks,https://tim.mcnamara.nz/,
9b0a900b-6b5a-4539-bbde-d8cdccd62c84,Steve Ruiz,steve-ruiz,steveruizok,steveruizok,https://www.steveruiz.me/,
9d81aee0-7ae1-4b96-92b0-b52dc5e9cc24,bdougie,bdougie,bdougieYO,bdougie,https://b.dougie.dev/,
a06f6195-7c01-4cd3-9058-4c0888d956bb,Kristi Perreault,kristi-perreault,kperreault95,kristiperreault,https://kristiperreault.medium.com/,
a248f3e6-f6af-4a23-91a6-78b46186a78e,Brian Leroux,brian-leroux,brianleroux,brianleroux,https://brian.io/,
a73c9c96-9a26-49ab-80c4-cabcc9b4c3ac,Taylor Desseyn,taylor-desseyn,tdesseyn,,https://solo.to/tdesseyn,
a74bf07a-6368-4c17-aa4a-9f60bd915a41,Jason Lengstorf,jason-lengstorf,jlengstorf,learnwithjason,https://www.learnwithjason.dev/,
abd451b9-cb29-4405-9545-7b8f80edddbb,Mark Techson,mark-techson,marktechson,marktechson,https://marktechson.com,
add00e02-61ee-4310-baac-47da1856266d,Fred Schott,fred-schott,fredkschott,fredkschott,https://fredkschott.com,Astro
b2f163e4-39ce-4844-9f00-5a5c5adb5a14,Josh Wardle,josh-wardle,powerlanguish,powerlanguage,https://www.powerlanguage.co.uk/,
b58c4e02-25a9-4180-85a6-454fe74a1c0e,Ben Vinegar,ben-vinegar,bentlegen,benvinegar,https://benv.ca/,
b6fa1079-3c0d-4d81-ad8c-91d481f17be5,Dave Rupert,dave-rupert,davatron5000,davatron5000,https://daverupert.com/,
b7557b7f-4149-4f4d-a04b-a044edbba790,Dax Raad,dax-raad,thdxr,thdxr,https://thdxr.com/,
b762f167-5fb3-4014-a15b-22366bbed6f9,Andrew Lisowski,andrew-lisowski,HipsterSmoothie,hipstersmoothie,https://www.hipstersmoothie.com/,
b76e1be6-7af0-4d61-8fd6-d6bbcfd8d47f,Idan Gazit,idan-gazit,idangazit,idan,https://gazit.me/,
b9334d13-6154-4032-9c58-7e22a512f82e,Lee Robinson,lee-robinson,leeerob,leerob,https://leerob.io,
bb0bf9c1-df2c-40c2-b4f6-f2cbc0ad37be,Syed Balkhi,syed-balkhi,syedbalkhi,,https://syedbalkhi.com/,
be433cf8-8380-4bb5-b205-149b7754c62c,Drew Conley,drew-conley,drewconley13,drewconley,https://www.coopmode.dev,
bfd1744e-9996-4e4c-802b-125503149ac8,Ryan Florence,ryan-florence,ryanflorence,ryanflorence,https://ryanflorence.com/,
c050735b-0fab-4fd5-a65e-8000c4e6cb8c,Alex Johansson,alex-johansson,alexdotjs,KATT,https://katt.dev/,
c48aa268-dcd4-48b1-8bef-8c8b3b4f5969,Etienne Lemay,etienne-lemay,EtienneLem,EtienneLem,,Missive
c545c6d4-e023-4a1a-9d38-744a39c49bcb,Filipe Névola,filipe-nevola,filipenevola,filipenevola,https://www.filipenevola.com,
c90c8d76-ab38-44a1-873b-f2ac81d82415,James Mikrut,james-mikrut,jamesmikrut,,https://payloadcms.com/,
ca591e61-93fd-42d3-bf73-3a611cb8fdff,Vu Le,vu-le,vukyle,vukyle,https://www.vukyle.com/,
d072f986-0509-4e9e-9f6a-480859427ee2,Sacha Greif,sacha-greif,SachaGreif,sachag,https://sachagreif.com/,State of JS Survey
d0ed1922-2127-4b09-9238-658fd45270b9,Salma Alam-Naylor,salma-alam-naylor,whitep4nth3r,whitep4nth3r,https://whitep4nth3r.com/,
d1cb4ef4-a466-441e-9c39-621fc9be7ef1,Brendan Irvine-Broque,brendan-irvine-broque,irvinebroque,irvinebroque,,
d30e0c20-cb8b-402e-acb7-90b3477391e5,Kenneth Lyerly,kenneth-lyerly,kenput3r,kenput3r,https://ken.dev,
d7cdad8d-4407-4d8b-aaac-c54a01987bb5,Aiden Bai,aiden-bai,aidenybai,aidenybai,https://aidenybai.com/,
dbc5ec85-6310-4eb6-8580-1aa1348ee09b,Sara Soueidan,sara-soueidan,SaraSoueidan,SaraSoueidan,https://www.sarasoueidan.com/,
dce53b10-0839-41a9-a130-8742701cb79f,Anselm Hannemann,anselm-hannemann,helloanselm,anselmh,https://helloanselm.com,
e261d4b7-0213-43fe-b262-e9eb10ba0222,Armin Ronacher,armin-ronacher,mitsuhiko,mitsuhiko,http://armin.ronacher.eu/,
e436fd86-4653-4548-9c32-0e99c4a9bc22,Thomas Mann,thomas-mann,thomaspaulmann,thomaspaulmann,thomaspaulmann.com,
e45055e2-6436-48d7-ae97-815ab7d0fe8e,Brandon Roberts,brandon-roberts,brandontroberts,brandonroberts,https://brandonroberts.dev,
e4730765-169b-4d69-8a96-85a8a20309e8,Colby Fayock,colby-fayock,colbyfayock,colbyfayock,https://www.colbyfayock.com/,
e59e1a8d-9772-4a50-bf4f-6899d8ab37c8,Fabian Kägy,fabian-kaegy,fabiankaegy,fabiankaegy,https://fabian-kaegy.com/,
e5baa84e-7550-45c3-9e10-72a1b2bf3c37,Anth Rogan,anth-rogan,RoganFPS,anthrogan,,
ea9fc336-36f5-4df5-b596-f1ffa82381ad,David East,david-east,_davideast,davideast,https://davidea.st/,
f0a8feb0-1099-4558-9082-1e4370d4f5ba,Bramus Van Damme,bramus-van-damme,bramus,bramus,https://www.bram.us/,
f0c7d7fd-9e3e-421e-b72c-3758e123c532,Hursh Agrawal,hursh-agrawal,hursh,hurshagrawal,http://www.hurshagrawal.com,
f429e4ad-c57e-41c5-bec9-6d2cbda32185,Caleb Porzio,caleb-porzio,calebporzio,calebporzio,https://calebporzio.com/,
f70c4fb1-1f1f-4e7e-9130-860a21c0309f,Josh Larson,josh-larson,jplhomer,jplhomer,https://www.jplhomer.org/,
f958e9fa-de3a-45f0-9ef5-7ed54072cf7d,Rita Kozlov,rita-kozlov,ritakozlov_,rita3ko,https://ritakozlov.com/,
f9d174aa-93d8-4a31-87d8-db7c7f569c00,Courtland Allen,courtland-allen,csallen,courthead,https://www.indiehackers.com/csallen,Indie Hackers
fa9658a1-0261-4877-8e0b-e2e6d04b88a1,Nate Weinert,nate-weinert,natebirdman,natew,https://tamagui.dev,
fe1763f2-2c8b-463f-83a5-28a7c105d739,Katherine Mello,katherine-mello,mell0kat,mell0kat,https://www.rolling-with-kat.blog,
fed86238-d2a2-402c-a37d-d559fa407aa0,Feross Aboukhadijeh,feross-aboukhadijeh,feross,feross,https://feross.org/,
ff2c430d-7884-4e43-901a-65b05dfbf6b0,Kilian Valkhof,kilian-valkhof,kilianvalkhof,Kilian,https://kilianvalkhof.com,
